lotus-ai-1  | INFO  [alembic.runtime.migration] Context impl SQLiteImpl.
lotus-ai-1  | INFO  [alembic.runtime.migration] Context impl SQLiteImpl.
lotus-ai-1  | INFO  [alembic.runtime.migration] Will assume non-transactional DDL.
lotus-ai-1  | INFO  [alembic.runtime.migration] Will assume non-transactional DDL.
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade  -> 0001_create_audit_records_table
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade  -> 0001_create_audit_records_table
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0001_create_audit_records_table -> 0002_create_retrieval_metadata_tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0001_create_audit_records_table -> 0002_create_retrieval_metadata_tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0002_create_retrieval_metadata_tables -> 0003_create_prompt_definitions_table
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0002_create_retrieval_metadata_tables -> 0003_create_prompt_definitions_table
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0003_create_prompt_definitions_table -> 0004_add_prompt_governance_metadata
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0003_create_prompt_definitions_table -> 0004_add_prompt_governance_metadata
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0004_add_prompt_governance_metadata -> 0005_add_audit_safety_metadata
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0004_add_prompt_governance_metadata -> 0005_add_audit_safety_metadata
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0005_add_audit_safety_metadata -> 0006_add_audit_execution_context_fields, add audit execution context fields
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0005_add_audit_safety_metadata -> 0006_add_audit_execution_context_fields, add audit execution context fields
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0006_add_audit_execution_context_fields -> 0007_add_audit_caller_identity_fields, add audit caller identity fields
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0006_add_audit_execution_context_fields -> 0007_add_audit_caller_identity_fields, add audit caller identity fields
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0007_add_audit_caller_identity_fields -> 0008_enable_catalog_only_retrieval_sources, enable catalog-only retrieval sources
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0007_add_audit_caller_identity_fields -> 0008_enable_catalog_only_retrieval_sources, enable catalog-only retrieval sources
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0008_enable_catalog_only_retrieval_sources -> 0009_add_provider_operations_state_tables, add provider operations state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0008_enable_catalog_only_retrieval_sources -> 0009_add_provider_operations_state_tables, add provider operations state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0009_add_provider_operations_state_tables -> 0010_add_provider_operations_events, add provider operations events
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0009_add_provider_operations_state_tables -> 0010_add_provider_operations_events, add provider operations events
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0010_add_provider_operations_events -> 0011_add_async_runtime_state_tables, add async runtime state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0010_add_provider_operations_events -> 0011_add_async_runtime_state_tables, add async runtime state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0011_add_async_runtime_state_tables -> 0012_add_async_job_target_id, add async job target id
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0011_add_async_runtime_state_tables -> 0012_add_async_job_target_id, add async job target id
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0012_add_async_job_target_id -> 0013_add_async_control_events, add async control events
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0012_add_async_job_target_id -> 0013_add_async_control_events, add async control events
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0013_add_async_control_events -> 0014_add_evaluation_runtime_state_tables, add evaluation runtime state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0013_add_async_control_events -> 0014_add_evaluation_runtime_state_tables, add evaluation runtime state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0014_add_evaluation_runtime_state_tables -> 0015_add_audit_execution_outcome_payload, add audit execution outcome payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0014_add_evaluation_runtime_state_tables -> 0015_add_audit_execution_outcome_payload, add audit execution outcome payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0015_add_audit_execution_outcome_payload -> 0016_add_prompt_rollout_state_tables, add prompt rollout state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0015_add_audit_execution_outcome_payload -> 0016_add_prompt_rollout_state_tables, add prompt rollout state tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0016_add_prompt_rollout_state_tables -> 0017_seed_prompt_rollout_candidates, seed prompt rollout candidates
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0016_add_prompt_rollout_state_tables -> 0017_seed_prompt_rollout_candidates, seed prompt rollout candidates
